ISBN,"Book title",Pages,Publisher
9789178034482,"LasseMajas sommarlovsbok. En dag på stranden ",96,104," Bonnier Carlsen"
9789150943351,"Flickorna som sprang",381,100," HarperCollins Nordic"
9789113096605,"Vego i världsklass : Hållbar mat för en aktiv livsstil",352,101,Norstedts
9789188743121,"Handbok i inredning och styling ",239,102," Roos Tegner"
9789137152615,"Det första chiffret ",272,103," Bokförlaget Forum"
9789137152684,"En bur av guld",370,103," Bokförlaget Forum"
